Day,Question Name,Leet Code Link,Neet Code Link,Difficulty,Category
79,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,https://neetcode.io/problems/level-order-traversal-of-binary-tree,Medium,Trees
80,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,https://neetcode.io/problems/binary-tree-right-side-view,Medium,Trees
81,Count Good Nodes In Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,https://neetcode.io/problems/count-good-nodes-in-binary-tree,Medium,Trees
82,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,https://neetcode.io/problems/valid-binary-search-tree,Medium,Trees
83,Kth Smallest Element In a Bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,https://neetcode.io/problems/kth-smallest-integer-in-bst,Medium,Trees
84,Construct Binary Tree From Preorder And Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal,Medium,Trees
85,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,https://neetcode.io/problems/k-closest-points-to-origin,Medium,Heap / Priority Queue
86,Kth Largest Element In An Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,https://neetcode.io/problems/kth-largest-element-in-an-array,Medium,Heap / Priority Queue
87,Task Scheduler,https://leetcode.com/problems/task-scheduler/,https://neetcode.io/problems/task-scheduling,Medium,Heap / Priority Queue
88,Design Twitter,https://leetcode.com/problems/design-twitter/,https://neetcode.io/problems/design-twitter-feed,Medium,Heap / Priority Queue
89,Subsets,https://leetcode.com/problems/subsets/,https://neetcode.io/problems/subsets,Medium,Backtracking
90,Combination Sum,https://leetcode.com/problems/combination-sum/,https://neetcode.io/problems/combination-target-sum,Medium,Backtracking
91,Permutations,https://leetcode.com/problems/permutations/,https://neetcode.io/problems/permutations,Medium,Backtracking
92,Subsets II,https://leetcode.com/problems/subsets-ii/,https://neetcode.io/problems/subsets-ii,Medium,Backtracking
93,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,https://neetcode.io/problems/combination-target-sum-ii,Medium,Backtracking
94,Word Search,https://leetcode.com/problems/word-search/,https://neetcode.io/problems/search-for-word,Medium,Backtracking
95,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,https://neetcode.io/problems/palindrome-partitioning,Medium,Backtracking
96,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,https://neetcode.io/problems/combinations-of-a-phone-number,Medium,Backtracking
97,Implement Trie Prefix Tree,https://leetcode.com/problems/implement-trie-prefix-tree/,https://neetcode.io/problems/implement-prefix-tree,Medium,Tries
98,Design Add And Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,https://neetcode.io/problems/design-word-search-data-structure,Medium,Tries
99,Number of Islands,https://leetcode.com/problems/number-of-islands/,https://neetcode.io/problems/count-number-of-islands,Medium,Graphs
100,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,https://neetcode.io/problems/max-area-of-island,Medium,Graphs
