Day,Question Name,Leet Code Link,Neet Code Link,Difficulty,Category
82,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,https://neetcode.io/problems/sum-of-two-integers,Medium,Bit Manipulation
83,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,https://neetcode.io/problems/longest-common-subsequence,Medium,2-D Dynamic Programming
84,Copy List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,https://neetcode.io/problems/copy-linked-list-with-random-pointer,Medium,Linked List
85,Search In Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://neetcode.io/problems/find-target-in-rotated-sorted-array,Medium,Binary Search
86,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,https://neetcode.io/problems/generate-parentheses,Medium,Stack
87,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,https://neetcode.io/problems/string-encode-and-decode,Medium,Arrays & Hashing
88,Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,https://neetcode.io/problems/time-based-key-value-store,Medium,Binary Search
89,Gas Station,https://leetcode.com/problems/gas-station/,https://neetcode.io/problems/gas-station,Medium,Greedy
90,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,https://neetcode.io/problems/longest-palindromic-substring,Medium,1-D Dynamic Programming
91,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,https://neetcode.io/problems/hand-of-straights,Medium,Greedy
92,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,https://neetcode.io/problems/max-area-of-island,Medium,Graphs
93,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,https://neetcode.io/problems/spiral-matrix,Medium,Math & Geometry
94,Subsets,https://leetcode.com/problems/subsets/,https://neetcode.io/problems/subsets,Medium,Backtracking
95,Reverse Integer,https://leetcode.com/problems/reverse-integer/,https://neetcode.io/problems/reverse-integer,Medium,Bit Manipulation
96,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,https://neetcode.io/problems/palindromic-substrings,Medium,1-D Dynamic Programming
97,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,https://neetcode.io/problems/daily-temperatures,Medium,Stack
98,Two Sum II Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,https://neetcode.io/problems/two-integer-sum-ii,Medium,Two Pointers
99,Car Fleet,https://leetcode.com/problems/car-fleet/,https://neetcode.io/problems/car-fleet,Medium,Stack
100,Best Time to Buy And Sell Stock With Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,https://neetcode.io/problems/buy-and-sell-crypto-with-cooldown,Medium,2-D Dynamic Programming
101,Permutation In String,https://leetcode.com/problems/permutation-in-string/,https://neetcode.io/problems/permutation-string,Medium,Sliding Window
102,Decode Ways,https://leetcode.com/problems/decode-ways/,https://neetcode.io/problems/decode-ways,Medium,1-D Dynamic Programming
103,Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,https://neetcode.io/problems/merge-triplets-to-form-target,Medium,Greedy
104,Coin Change,https://leetcode.com/problems/coin-change/,https://neetcode.io/problems/coin-change,Medium,1-D Dynamic Programming
105,Coin Change II,https://leetcode.com/problems/coin-change-ii/,https://neetcode.io/problems/coin-change-ii,Medium,2-D Dynamic Programming
106,Combination Sum,https://leetcode.com/problems/combination-sum/,https://neetcode.io/problems/combination-target-sum,Medium,Backtracking
107,3Sum,https://leetcode.com/problems/3sum/,https://neetcode.io/problems/three-integer-sum,Medium,Two Pointers
108,Permutations,https://leetcode.com/problems/permutations/,https://neetcode.io/problems/permutations,Medium,Backtracking
109,Subsets II,https://leetcode.com/problems/subsets-ii/,https://neetcode.io/problems/subsets-ii,Medium,Backtracking
110,Target Sum,https://leetcode.com/problems/target-sum/,https://neetcode.io/problems/target-sum,Medium,2-D Dynamic Programming
111,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,https://neetcode.io/problems/set-zeroes-in-matrix,Medium,Math & Geometry
112,Partition Labels,https://leetcode.com/problems/partition-labels/,https://neetcode.io/problems/partition-labels,Medium,Greedy
113,Clone Graph,https://leetcode.com/problems/clone-graph/,https://neetcode.io/problems/clone-graph,Medium,Graphs
114,Interleaving String,https://leetcode.com/problems/interleaving-string/,https://neetcode.io/problems/interleaving-string,Medium,2-D Dynamic Programming
115,Edit Distance,https://leetcode.com/problems/edit-distance/,https://neetcode.io/problems/edit-distance,Medium,2-D Dynamic Programming
116,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,https://neetcode.io/problems/maximum-product-subarray,Medium,1-D Dynamic Programming
117,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,https://neetcode.io/problems/products-of-array-discluding-self,Medium,Arrays & Hashing
118,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,https://neetcode.io/problems/binary-tree-right-side-view,Medium,Trees
119,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,https://neetcode.io/problems/valid-parenthesis-string,Medium,Greedy
120,"Pow(x, n)",https://leetcode.com/problems/powx-n/,https://neetcode.io/problems/pow-x-n,Medium,Math & Geometry
